Parameter,Value,Behav_Mode,Timestamp
d_u,0.07160084901930178,False,2025-04-18 18:23:38
d_v,0.04783341190808449,False,2025-04-18 18:23:38
gamma_u,1.1734685842438246,False,2025-04-18 18:23:38
gamma_v,0.3216292604642179,False,2025-04-18 18:23:38
d_u,0.03522433395454748,False,2025-04-18 18:25:42
d_v,0.012548807340485687,False,2025-04-18 18:25:42
gamma_u,0.3501059200983905,False,2025-04-18 18:25:42
gamma_v,0.5111780053192513,False,2025-04-18 18:25:42
d_u,0.03024278837349331,False,2025-04-18 18:27:22
d_v,0.021568336142121135,False,2025-04-18 18:27:22
gamma_u,0.6514063507840115,False,2025-04-18 18:27:22
gamma_v,0.3071088600062378,False,2025-04-18 18:27:22
d_u,0.031475713942473435,True,2025-04-18 18:28:20
d_v,0.02366708343522564,True,2025-04-18 18:28:20
gamma_u,0.8227224528624275,True,2025-04-18 18:28:20
gamma_v,0.4039204173462251,True,2025-04-18 18:28:20
d_u,0.032625676652378116,False,2025-04-18 18:36:29
d_v,0.022631582433280097,False,2025-04-18 18:36:29
gamma_u,0.9510163752727735,False,2025-04-18 18:36:29
gamma_v,0.3507226370497294,False,2025-04-18 18:36:29
d_u,0.018875756823316225,True,2025-04-18 18:47:06
d_v,0.016910409576738818,True,2025-04-18 18:47:06
gamma_u,0.6002758015502224,True,2025-04-18 18:47:06
gamma_v,0.30495755657435064,True,2025-04-18 18:47:06
d_u,0.028425304266913354,False,2025-04-18 20:03:53
d_v,0.012204664994852895,False,2025-04-18 20:03:53
gamma_u,0.6910885508103723,False,2025-04-18 20:03:53
gamma_v,0.43061228687827374,False,2025-04-18 20:03:53
d_u,0.01502147156030638,True,2025-04-18 21:08:31
d_v,0.01895460993127294,True,2025-04-18 21:08:31
gamma_u,0.870482268147742,True,2025-04-18 21:08:31
gamma_v,0.2055049389716371,True,2025-04-18 21:08:31
