Parameter,Value,Behav_Mode,Calib_condition
d_u,0.021618549214223546,False,all
d_v,0.02497055806733787,False,all
gamma_u,0.9120351534075436,False,all
gamma_v,0.016007651503236412,False,all
d_u,0.02213585241558011,True,all
d_v,0.025886544784204733,True,all
gamma_u,0.9767636254132065,True,all
gamma_v,0.014807959959448593,True,all
d_u,0.0380800177802684,False,uer
d_v,0.012703359220458446,False,uer
gamma_u,0.7693539972810644,False,uer
gamma_v,0.1558749045406283,False,uer
d_u,0.04080569342104966,True,uer
d_v,0.012347219690699645,True,uer
gamma_u,0.6320772530534584,True,uer
gamma_v,0.17242848590687693,True,uer
d_u,0.0681313492822372,False,vac
d_v,0.010878725942123873,False,vac
gamma_u,0.7851789880273887,False,vac
gamma_v,0.037136376845687276,False,vac
d_u,0.06785881568417819,True,vac
d_v,0.010349314487099092,True,vac
gamma_u,0.7879905057142448,True,vac
gamma_v,0.038581783400669374,True,vac
